asset_name,asset_type,repo_or_location,owner,purpose,risk_tier,live_status,data_access,allowed_tools,forbidden_tools,memory_access,trace_layer,kill_switch,rollback_method,approval_status,last_reviewed,notes
Sterling Agent,Agent,private (fake placeholder),Blake (McPherson AI),Personal finance agent (fake registry entry for scaffold testing),1,not_live,fake data only,fake summarizer,live integrations; outbound messaging; kill switch changes,read-only (fake),"Langfuse (metadata_only, mocked)",AGENT_ENABLED + HUMAN_ONLY_MODE,git revert + restore from zip backup,Approved for Internal Use,2026-06-11,Fake sample asset for governance scaffold. No real data.
Langfuse Observability Layer,Integration,mocked/local only,Blake (McPherson AI),"Tracing layer; metadata_only mode, no raw content",1,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",LANGFUSE_ENABLED + LANGFUSE_MODE,git revert + restore from zip backup,Approved for Internal Use,2026-06-11,Fake sample asset for governance scaffold. No real data.
SQLite Memory Layer,Data Store,local file (fake),Blake (McPherson AI),Agent memory store; writes gated by ALLOW_SQLITE_WRITES,2,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,write-gated,"Langfuse (metadata_only, mocked)",ALLOW_SQLITE_WRITES + HUMAN_ONLY_MODE,SQLite backup file restore (tested before pilot),Needs Review,2026-06-11,Fake sample asset for governance scaffold. No real data.
Diagnostic Console,Workflow,private repo (planned),Blake (McPherson AI),Operator diagnostic intake and written assessment workflow,2,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",AGENT_ENABLED + HUMAN_ONLY_MODE,git revert + restore from zip backup,Draft,2026-06-11,Fake sample asset for governance scaffold. No real data.
Website Repo,Repo,private GitHub (fake placeholder),Blake (McPherson AI),Public-facing site; public claims require Blake approval,0,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",AGENT_ENABLED + HUMAN_ONLY_MODE,git revert + restore from zip backup,Approved for Internal Use,2026-06-11,Fake sample asset for governance scaffold. No real data.
Fable,Model,Anthropic (Claude Fable 5),Blake (McPherson AI),Drafts scaffolds and documents; no live actions,1,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",AGENT_ENABLED + HUMAN_ONLY_MODE,git revert + restore from zip backup,Approved for Internal Use,2026-06-11,Fake sample asset for governance scaffold. No real data.
Claude Code,Model,Anthropic (Claude Code CLI),Blake (McPherson AI),Audits and hardens repos per CLAUDE.md; no live actions,1,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",AGENT_ENABLED + HUMAN_ONLY_MODE,git revert + restore from zip backup,Approved for Internal Use,2026-06-11,Fake sample asset for governance scaffold. No real data.
Telegram,Integration,NOT CONNECTED,Blake (McPherson AI),Future operator chat channel; disabled until pilot gate passes,3,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",TELEGRAM_ENABLED + ALLOW_OUTBOUND_ACTIONS,git revert + restore from zip backup,Blocked,2026-06-11,Fake sample asset for governance scaffold. No real data.
OpenClaw,Integration,NOT CONNECTED,Blake (McPherson AI),Future agent runtime; disabled in this scaffold,3,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",AGENT_ENABLED,git revert + restore from zip backup,Needs Review,2026-06-11,Fake sample asset for governance scaffold. No real data.
Pilot Store 001 Fake Deployment,Pilot Deployment,fake — does not exist,Blake (McPherson AI),Fake pilot used to exercise the readiness checklist end to end,3,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",AGENT_ENABLED + HUMAN_ONLY_MODE,git revert + restore from zip backup,Needs Review,2026-06-11,Entirely fictional pilot. Used for readiness checklist and weekly proof samples.
Walkthrough Scribe Mode,Workflow,private repo (planned),Blake (McPherson AI),Assisted note-taking during store walkthroughs (human drives),2,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",AGENT_ENABLED + HUMAN_ONLY_MODE,git revert + restore from zip backup,Draft,2026-06-11,Fake sample asset for governance scaffold. No real data.
MCP Tool Layer Placeholder,Integration,NOT CONNECTED,Blake (McPherson AI),Placeholder for future MCP tool dispatch behind check_tool_execution(),0,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",ALLOW_TOOL_EXECUTION,git revert + restore from zip backup,Draft,2026-06-11,Fake sample asset for governance scaffold. No real data.
Kill Switch Config Layer,Workflow,this repo: src/control/,Blake (McPherson AI),"Deny-by-default flags, runtime guard, blocked action log",1,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",AGENT_ENABLED + HUMAN_ONLY_MODE,git revert + restore from zip backup,Approved for Internal Use,2026-06-11,Fake sample asset for governance scaffold. No real data.
AI Eval Pack,Workflow,this repo: src/evals/ + data/fake_eval_cases/,Blake (McPherson AI),Fake safety cases run against rule-based FakeAgent,1,not_live,fake data only,,live integrations; outbound messaging; kill switch changes,none,"Langfuse (metadata_only, mocked)",AGENT_ENABLED + HUMAN_ONLY_MODE,git revert + restore from zip backup,Approved for Internal Use,2026-06-11,Fake sample asset for governance scaffold. No real data.
